yahoo_id,yahoo_name
7200,Aaron Rodgers
7777,Marcedes Lewis
8432,Nick Folk
8447,Mason Crosby
8565,Matt Prater
8795,Joe Flacco
8937,Josh Johnson
9265,Matthew Stafford
9526,Graham Gano
24070,Jimmy Graham
24793,Julio Jones
24797,Blaine Gabbert
24822,Andy Dalton
24851,Randall Cobb
24967,Tyrod Taylor
25718,Ryan Tannehill
25785,Russell Wilson
25812,Kirk Cousins
25871,Randy Bullock
25881,Greg Zuerlein
26389,Brandon Bolden
26483,Case Keenum
26534,Justin Tucker
26650,DeAndre Hopkins
26652,Cordarrelle Patterson
26658,Zach Ertz
26662,Geno Smith
26664,Robert Woods
26686,Travis Kelce
26699,Keenan Allen
26701,Marquise Goodwin
26721,Matt Barkley
26753,Kyle Juszczyk
26800,Dustin Hopkins
26804,Latavius Murray
27120,Brandon McManus
27277,Adam Thielen
27369,Brett Maher
27535,Mike Evans
27540,Odell Beckham Jr.
27548,Brandin Cooks
27560,Teddy Bridgewater
27564,Derek Carr
27570,Jordan Matthews
27581,Davante Adams
27589,Allen Robinson
27590,Jimmy Garoppolo
27624,Jerick McKinnon
27646,Martavis Bryant
27648,Logan Thomas
28026,Willie Snead IV
28141,Keith Smith
28188,Chris Boswell
28227,Cairo Santos
28365,Chris Manhertz
28378,Jason Myers
28389,Jameis Winston
28390,Marcus Mariota
28392,Amari Cooper
28402,DeVante Parker
28408,Nelson Agholor
28417,Phillip Dorsett II
28442,Ameer Abdullah
28457,Tyler Lockett
28464,Chris Conley
28473,Tyler Kroft
28493,Jamison Crowder
28505,Blake Bell
28531,MyCole Pruitt
28534,Stefon Diggs
28545,C.J. Uzomah
28556,Michael Burton
28592,Darren Waller
28634,Geoff Swaim
28638,Trevor Siemian
28654,Raheem Mostert
28658,Eric Tomlinson
28730,Damiere Byrd
28839,Taylor Heinicke
28947,DeAndre Carter
29235,Jared Goff
29236,Carson Wentz
29238,Ezekiel Elliott
29257,Laquon Treadwell
29269,Hunter Henry
29274,Sterling Shepard
29279,Derrick Henry
29281,Michael Thomas
29288,Tyler Boyd
29315,Austin Hooper
29325,Jacoby Brissett
29328,Nick Vannett
29341,Chris Moore
29344,Tyler Higbee
29360,Demarcus Robinson
29369,Dak Prescott
29390,Jonathan Williams
29399,Tyreek Hill
29420,Jakeem Grant
29421,Nate Sudfeld
29435,Brandon Allen
29441,Jeff Driskel
29470,Dwayne Washington
29631,Kalif Raymond
29703,Alex Erickson
29754,Wil Lutz
29785,Robbie Chosen
29789,Stephen Anderson
29792,Ka'imi Fairbairn
29951,C.J. Ham
29978,Jaydon Mickens
30112,Mo Alie-Cox
30115,Mitchell Trubisky
30120,Mike Williams
30121,Christian McCaffrey
30122,John Ross
30123,Patrick Mahomes
30125,Deshaun Watson
30136,Evan Engram
30142,David Njoku
30150,Zay Jones
30153,Curtis Samuel
30154,Dalvin Cook
30157,Gerald Everett
30161,Joe Mixon
30175,JuJu Smith-Schuster
30180,Alvin Kamara
30182,Cooper Kupp
30197,Chris Godwin
30199,Kareem Hunt
30202,D'Onta Foreman
30213,Jonnu Smith
30217,C.J. Beathard
30218,James Conner
30227,Samaje Perine
30230,Josh Reynolds
30231,Mack Hollins
30232,Tarik Cohen
30247,Jamaal Williams
30248,Joshua Dobbs
30256,Marlon Mack
30259,George Kittle
30266,Jake Elliott
30275,Jeremy McNichols
30278,Jamal Agnew
30284,Nathan Peterman
30285,Isaiah McKenzie
30287,Eric Saubert
30290,Trent Taylor
30295,Aaron Jones Sr.
30305,Alex Armah
30337,Zane Gonzalez
30339,David Moore
30346,Harrison Butker
30352,Noah Brown
30373,Johnny Mundt
30396,Keelan Cole Sr.
30423,Austin Ekeler
30426,Younghoe Koo
30502,Zach Pascal
30511,Tim Patrick
30538,P.J. Walker
30551,Kendrick Bourne
30552,Matt Breida
30563,Nick Mullens
30571,Anthony Firkser
30592,Patrick Ricard
30614,Taysom Hill
30627,Pharaoh Brown
30661,Jacob Hollister
30715,Greg Ward
30777,Robert Tonyan
30788,Cooper Rush
30860,Dare Ogunbowale
30955,River Cracraft
30971,Baker Mayfield
30972,Saquon Barkley
30973,Sam Darnold
30977,Josh Allen
30994,DJ Moore
30995,Hayden Hurst
30996,Calvin Ridley
30997,Rashaad Penny
31002,Lamar Jackson
31005,Nick Chubb
31010,Courtland Sutton
31012,Mike Gesicki
31014,Dante Pettis
31017,Christian Kirk
31019,Dallas Goedert
31021,Anthony Miller
31030,James Washington
31031,DJ Chark Jr.
31041,Royce Freeman
31046,Mason Rudolph
31051,Michael Gallup
31056,Mark Andrews
31061,Tre'Quan Smith
31068,Jordan Akins
31071,Ian Thomas
31074,Nyheim Hines
31090,Will Dissly
31093,Durham Smythe
